# Paso Promedio_Distancia_Minima
0.00000000 7.88100788
500.00000000 7.76686441
1000.00000000 7.52606849
1500.00000000 7.31117096
2000.00000000 7.06191112
2500.00000000 6.81888352
3000.00000000 6.61245102
3500.00000000 6.46251420
4000.00000000 6.33983066
4500.00000000 6.26148088
5000.00000000 6.21774117
5500.00000000 6.15538272
6000.00000000 6.14236249
6500.00000000 6.06126089
7000.00000000 6.04671111
7500.00000000 5.98363429
8000.00000000 5.94211793
8500.00000000 5.91361953
9000.00000000 5.89038861
9500.00000000 5.87261259
10000.00000000 5.85889225
10500.00000000 5.84371795
11000.00000000 5.81417315
11500.00000000 5.79047555
12000.00000000 5.77900875
12500.00000000 5.77481661
13000.00000000 5.76973337
13500.00000000 5.74731082
14000.00000000 5.73756378
14500.00000000 5.73189483
15000.00000000 5.73697279
15500.00000000 5.71609689
16000.00000000 5.71218587
16500.00000000 5.70500583
17000.00000000 5.70519913
17500.00000000 5.71390988
18000.00000000 5.71132381
18500.00000000 5.70355857
19000.00000000 5.70059372
19500.00000000 5.68685776
20000.00000000 5.68255201
20500.00000000 5.68164073
21000.00000000 5.67096052
21500.00000000 5.68359475
22000.00000000 5.67360863
22500.00000000 5.65839964
23000.00000000 5.66131532
23500.00000000 5.66580185
24000.00000000 5.66678861
24500.00000000 5.66000650
25000.00000000 5.65579523
25500.00000000 5.64169950
26000.00000000 5.64217108
26500.00000000 5.64443756
27000.00000000 5.64201897
27500.00000000 5.64046884
28000.00000000 5.64146585
28500.00000000 5.64355292
29000.00000000 5.64522500
29500.00000000 5.64780046
30000.00000000 5.64004846
30500.00000000 5.64328013
31000.00000000 5.64690462
31500.00000000 5.65148140
32000.00000000 5.65178892
32500.00000000 5.64899180
33000.00000000 5.65263966
33500.00000000 5.65025320
34000.00000000 5.65047704
34500.00000000 5.65448770
35000.00000000 5.64987253
35500.00000000 5.65023073
36000.00000000 5.64932142
36500.00000000 5.64507405
37000.00000000 5.65101034
37500.00000000 5.65299557
38000.00000000 5.65862939
38500.00000000 5.65398391
39000.00000000 5.65260714
39500.00000000 5.65931190
40000.00000000 5.65547937
40500.00000000 5.65327363
41000.00000000 5.64685077
41500.00000000 5.64455185
42000.00000000 5.64578723
42500.00000000 5.64807833
43000.00000000 5.65415363
43500.00000000 5.65113788
44000.00000000 5.64920017
44500.00000000 5.65106535
45000.00000000 5.64969803
45500.00000000 5.64637051
46000.00000000 5.64785915
46500.00000000 5.64438166
47000.00000000 5.64655388
47500.00000000 5.64702250
48000.00000000 5.64755610
48500.00000000 5.65038197
49000.00000000 5.65216839
49500.00000000 5.65658159
50000.00000000 5.65154994
50500.00000000 5.65464905
51000.00000000 5.65326982
51500.00000000 5.65398682
52000.00000000 5.64908848
52500.00000000 5.64476413
53000.00000000 5.64848704
53500.00000000 5.64387770
54000.00000000 5.65011403
54500.00000000 5.65426972
55000.00000000 5.65331587
55500.00000000 5.65875747
56000.00000000 5.66067315
56500.00000000 5.64615480
57000.00000000 5.65208008
57500.00000000 5.64986393
58000.00000000 5.64736964
58500.00000000 5.64912968
59000.00000000 5.65039422
59500.00000000 5.64881285
60000.00000000 5.65091490
60500.00000000 5.66184732
61000.00000000 5.66024898
61500.00000000 5.65822292
62000.00000000 5.65469894
62500.00000000 5.65120457
63000.00000000 5.65196768
63500.00000000 5.64838110
64000.00000000 5.64567171
64500.00000000 5.64670326
65000.00000000 5.64628818
65500.00000000 5.64934204
66000.00000000 5.64809529
66500.00000000 5.64511251
67000.00000000 5.64329007
67500.00000000 5.64719223
68000.00000000 5.64676552
68500.00000000 5.64862334
69000.00000000 5.64675405
69500.00000000 5.64754624
70000.00000000 5.64580430
70500.00000000 5.64556507
71000.00000000 5.64164096
71500.00000000 5.64514825
72000.00000000 5.64373272
72500.00000000 5.64500936
73000.00000000 5.64558408
73500.00000000 5.64098941
74000.00000000 5.64333961
74500.00000000 5.64258450
75000.00000000 5.64457104
75500.00000000 5.64321857
76000.00000000 5.64311849
76500.00000000 5.64391316
77000.00000000 5.64163999
77500.00000000 5.64456712
78000.00000000 5.64197277
78500.00000000 5.64364880
79000.00000000 5.64107711
79500.00000000 5.64225775
80000.00000000 5.64211802
80500.00000000 5.64318423
81000.00000000 5.64354300
81500.00000000 5.64540911
82000.00000000 5.64327908
82500.00000000 5.64495983
83000.00000000 5.64673443
83500.00000000 5.64252968
84000.00000000 5.64349315
84500.00000000 5.64331939
85000.00000000 5.64167409
85500.00000000 5.64226499
86000.00000000 5.64332709
86500.00000000 5.64509466
87000.00000000 5.64503176
87500.00000000 5.64256708
88000.00000000 5.64109347
88500.00000000 5.63915248
89000.00000000 5.63959911
89500.00000000 5.64099614
90000.00000000 5.64240832
90500.00000000 5.64251737
91000.00000000 5.64068445
91500.00000000 5.64118990
92000.00000000 5.64418123
92500.00000000 5.64102323
93000.00000000 5.63937311
93500.00000000 5.64176347
94000.00000000 5.64368170
94500.00000000 5.64415827
95000.00000000 5.64007806
95500.00000000 5.63984648
96000.00000000 5.64009137
96500.00000000 5.63906140
97000.00000000 5.64000091
97500.00000000 5.64289595
98000.00000000 5.64164614
98500.00000000 5.63929018
99000.00000000 5.64010971
99500.00000000 5.64267801
