# Paso Promedio_Distancia_Minima
0.00000000 0.93476268
500.00000000 1.11910814
1000.00000000 1.10147746
1500.00000000 1.10470482
2000.00000000 1.10590681
2500.00000000 1.11148576
3000.00000000 1.11279781
3500.00000000 1.10849356
4000.00000000 1.10819955
4500.00000000 1.10599409
5000.00000000 1.10719221
5500.00000000 1.10518488
6000.00000000 1.10229782
6500.00000000 1.10196284
7000.00000000 1.10158558
7500.00000000 1.10284543
8000.00000000 1.10440618
8500.00000000 1.10409518
9000.00000000 1.10536563
9500.00000000 1.10119845
10000.00000000 1.09694556
10500.00000000 1.09328780
11000.00000000 1.09031097
11500.00000000 1.09223284
12000.00000000 1.09304719
12500.00000000 1.09131378
13000.00000000 1.09283000
13500.00000000 1.09498831
14000.00000000 1.09487713
14500.00000000 1.09467656
15000.00000000 1.09570369
15500.00000000 1.09459661
16000.00000000 1.09851955
16500.00000000 1.09638786
17000.00000000 1.09745975
17500.00000000 1.09450865
18000.00000000 1.09450865
18500.00000000 1.09401131
19000.00000000 1.09401131
19500.00000000 1.09397013
20000.00000000 1.09397013
20500.00000000 1.09443920
21000.00000000 1.09451396
21500.00000000 1.09325105
22000.00000000 1.09435781
22500.00000000 1.09275586
23000.00000000 1.09300972
23500.00000000 1.09347334
24000.00000000 1.09412350
24500.00000000 1.09479456
25000.00000000 1.09478422
25500.00000000 1.09569301
26000.00000000 1.09610036
26500.00000000 1.09592730
27000.00000000 1.09602433
27500.00000000 1.09595968
28000.00000000 1.09591063
28500.00000000 1.09746769
29000.00000000 1.09723836
29500.00000000 1.09902054
